project_code,project_name,report_month,start_date,original_doc,physical_progress,previous_progress,progress_change,progress_velocity,expenditure,expenditure_ratio,previous_expenditure,expenditure_change,expenditure_velocity,original_cost,months_observed,days_since_first_report,has_physical_progress,has_expenditure,state,sector,ministry_final,agency_final,planned_duration_days_raw,elapsed_duration_days,expected_progress_raw,expected_progress,progress_gap,schedule_valid,schedule_invalid_reason,source_file,source_sheet
060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY,2025-03-01,,,77.2,,,,,,,,,,1.0,0.0,1,0,,"URBAN
DEVELOPMENT",,SECL,,,,,,False,missing start_date; missing original_doc,March n Q1 2025.xlsx,QPISR_T7_AllOngoing
060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY,2025-05-01,,,77.2,77.2,0.0,0.0,6584.29,55.72162418333841,,,,11816.4,2.0,61.0,1,1,CHHATTISGARH,,,SECL,,,,,,False,missing start_date; missing original_doc,Apr-May 2025.xlsx,All Ongoing Projects
060100093,GEVRA EXPANSION OCP (SECL) (35-70) MTY,2025-06-01,,,77.2,77.2,0.0,0.0,,,6584.29,,,,3.0,92.0,1,0,CHHATTISGARH,URBAN DEVELOPMENT,,SECL,,,,,,False,missing start_date; missing original_doc,June-July 2025.xlsx,June_Table7_All_Projects
108841,"Amended BharatNet Program - KTK, GOA, PY",2026-07-01,,2028-06-01,0.0,,,,435.31,11.633083912346338,,,,3742.0,1.0,0.0,1,1,PAN India,Telecommunication,Department of Telecommunications,(Department of Telecommunications),,,,,,False,missing start_date,June-July 2026.xlsx,All Ongoing Projects
124199,Amended BharatNet Program - HR,2026-07-01,,2029-03-01,0.0,,,,83.68,9.997610513739547,,,,837.0,1.0,0.0,1,1,PAN India,Telecommunication,Department of Telecommunications,(Department of Telecommunications),,,,,,False,missing start_date,June-July 2026.xlsx,All Ongoing Projects
171218,Amended BharatNet Program - PB,2026-07-01,,2028-02-01,26.58,,,,0.0,0.0,,,,1245.0,1.0,0.0,1,1,PAN India,Telecommunication,Department of Telecommunications,(Department of Telecommunications),,,,,,False,missing start_date,June-July 2026.xlsx,All Ongoing Projects
175860,"Amended BharatNet Program - MP, DD and DNH",2026-07-01,,2028-05-01,8.4,,,,562.13,11.372243576775237,,,,4943.0,1.0,0.0,1,1,PAN India,Telecommunication,Department of Telecommunications,(Department of Telecommunications),,,,,,False,missing start_date,June-July 2026.xlsx,All Ongoing Projects
180100210,PARBATI HEP (4X200 MW) (NHPC) II,2025-03-01,,,100.0,,,,,,,,,,1.0,0.0,1,0,,POWER,,NHPC,,,,,,False,missing start_date; missing original_doc,March n Q1 2025.xlsx,QPISR_T7_AllOngoing
180100210,PARBATI HEP (4X200 MW) (NHPC) II,2025-05-01,,,100.0,100.0,0.0,0.0,12832.59,327.39623276924374,,,,3919.59,2.0,61.0,1,1,,POWER,,NHPC,,,,,,False,missing start_date; missing original_doc,Apr-May 2025.xlsx,All Ongoing Projects
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),2025-03-01,,,96.6,,,,,,,,,,1.0,0.0,1,0,,POWER,,NHPC,,,,,,False,missing start_date; missing original_doc,March n Q1 2025.xlsx,QPISR_T7_AllOngoing
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),2025-05-01,,,96.2,96.6,-0.3999999999999915,-0.006557377049180188,24022.52,382.19982085268396,,,,6285.33,2.0,61.0,1,1,,CIVIL AVIATION,,NHPC,,,,,,False,missing start_date; missing original_doc,Apr-May 2025.xlsx,All Ongoing Projects
180100221,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),2025-06-01,,,96.6,96.2,0.3999999999999915,0.012903225806451337,,,24022.52,,,,3.0,92.0,1,0,ARUNACHAL PRADESH,POWER,,NHPC,,,,,,False,missing start_date; missing original_doc,June-July 2025.xlsx,June_Table7_All_Projects
180100242,BARH STPP(3X660MW) NTPC,2025-03-01,,,95.0,,,,,,,,,,1.0,0.0,1,0,,POWER,,NTPC,,,,,,False,missing start_date; missing original_doc,March n Q1 2025.xlsx,QPISR_T7_AllOngoing
