sector,HIGH,LOW,MEDIUM,TOTAL,HIGH_%
"Tourism, Hospitality & Wellness",1,0,0,1,100.0
Logistics Infrastructure,1,0,0,1,100.0
Water Resources,25,3,4,32,78.12
Metals & Mining,4,0,2,6,66.67
Electricity Generation,18,15,6,39,46.15
Railways,83,119,61,263,31.56
Healthcare,13,12,19,44,29.55
Oil & Gas,24,40,27,91,26.37
Energy Storage,3,6,5,14,21.43
Urban Public Transport,5,20,5,30,16.67
Roads & Highways,101,556,372,1029,9.82
Education,3,17,11,31,9.68
Aviation & Aviation Infrastructure,2,14,9,25,8.0
Steel,2,22,2,26,7.69
Real Estate,1,11,3,15,6.67
Transmission & Distribution,3,46,15,64,4.69
Waste & Water,1,21,2,24,4.17
Telecommunication,1,29,1,31,3.23
Coal,1,113,1,115,0.87
Construction,0,2,0,2,0.0
Inland Waterways,0,0,1,1,0.0
Shipping,0,2,4,6,0.0
