state,HIGH,LOW,MEDIUM,TOTAL,HIGH_%
"Multi-States (Arunachal Pradesh, Sikkim)",1,0,0,1,100.0
"Multi-States (Assam, Bihar, Jharkhand, Odisha, West Bengal)",1,0,0,1,100.0
"Multi-States (Assam, Manipur, Meghalaya, Mizoram, Nagaland, Tripura)",1,0,0,1,100.0
"Multi-States (Odisha, West Bengal)",2,0,0,2,100.0
"Multi-States (Karnataka, Kerala, Tamil Nadu)",1,0,0,1,100.0
"Multi-States (Jharkhand, Odisha)",1,0,0,1,100.0
"Multi-States (Delhi, Gujarat, Madhya Pradesh, Maharashtra, Rajasthan)",1,0,0,1,100.0
"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh)",1,0,0,1,100.0
"Multi-States (Kerala, Tamil Nadu)",1,0,0,1,100.0
"Multi-States (Kerala, Puducherry)",1,0,0,1,100.0
"Multi-States (Maharashtra, Telangana)",2,0,0,2,100.0
"Multi-States (Sikkim, West Bengal)",1,0,0,1,100.0
"Multi-States (Karnataka, Tamil Nadu)",3,0,1,4,75.0
"Multi-States (Goa, Karnataka)",2,0,1,3,66.67
"Multi-States (Madhya Pradesh, Maharashtra)",2,1,0,3,66.67
Himachal Pradesh,19,6,5,30,63.33
"Multi-States (Andhra Pradesh, Odisha)",3,1,1,5,60.0
Haryana,11,4,6,21,52.38
"Multi-States (Gujarat, Rajasthan)",1,0,1,2,50.0
"Multi-States (Rajasthan, Uttar Pradesh)",1,1,0,2,50.0
"Multi-States (Arunachal Pradesh, Assam)",2,1,1,4,50.0
"Multi-States (Gujarat, Madhya Pradesh)",1,0,1,2,50.0
Punjab,17,10,16,43,39.53
Offshore,3,2,3,8,37.5
"Multi-States (Chhattisgarh, Odisha)",1,1,1,3,33.33
"Multi-States (Himachal Pradesh, Punjab)",1,2,0,3,33.33
"Multi-States (Andhra Pradesh, Karnataka)",2,2,2,6,33.33
Delhi,5,9,2,16,31.25
Gujarat,26,46,23,95,27.37
"Multi-States (Puducherry, Tamil Nadu)",1,0,3,4,25.0
"Multi-States (Karnataka, Maharashtra)",1,2,1,4,25.0
"Multi-States (Andhra Pradesh, Telangana)",2,5,2,9,22.22
Bihar,21,40,36,97,21.65
Sikkim,3,10,1,14,21.43
Ladakh,1,0,4,5,20.0
"Multi-States (Bihar, Jharkhand)",2,2,7,11,18.18
"Multi-States (Jharkhand, West Bengal)",1,3,2,6,16.67
Odisha,15,59,20,94,15.96
West Bengal,9,39,11,59,15.25
Karnataka,14,52,31,97,14.43
"Multi-States (Madhya Pradesh, Uttar Pradesh)",1,3,3,7,14.29
"Multi-States (Madhya Pradesh, Rajasthan)",1,2,4,7,14.29
Kerala,4,6,19,29,13.79
Maharashtra,23,107,40,170,13.53
Chhattisgarh,9,41,17,67,13.43
"Multi-States (Bihar, Uttar Pradesh)",1,3,4,8,12.5
Uttarakhand,5,25,12,42,11.9
Telangana,7,39,18,64,10.94
Jammu and Kashmir,5,26,15,46,10.87
Jharkhand,8,59,11,78,10.26
Assam,7,38,27,72,9.72
Uttar Pradesh,12,74,46,132,9.09
Manipur,3,29,2,34,8.82
Andhra Pradesh,8,66,22,96,8.33
Madhya Pradesh,7,61,24,92,7.61
Tamil Nadu,3,15,27,45,6.67
Mizoram,1,12,5,18,5.56
Arunachal Pradesh,1,15,3,19,5.26
Nagaland,1,9,10,20,5.0
PAN India,1,21,1,23,4.35
"Multi-States (Andhra Pradesh, Maharashtra, Telangana)",0,1,0,1,0.0
"Multi-States (Andhra Pradesh, Chhattisgarh, Odisha)",0,0,1,1,0.0
"Multi-States (Assam, Meghalaya)",0,0,1,1,0.0
"Multi-States (Assam, Bihar, West Bengal)",0,1,0,1,0.0
Goa,0,5,0,5,0.0
Meghalaya,0,9,7,16,0.0
"Multi-States (Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Madhya Pradesh, Maharashtra, Odisha, Telangana, Uttar Pradesh, West Bengal)",0,2,0,2,0.0
"Multi-States (Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra, Odisha)",0,1,0,1,0.0
Andaman & Nicobar,0,4,0,4,0.0
Dadra & Nagar Haveli and Daman & Diu,0,1,0,1,0.0
"Multi-States (Andhra Pradesh, Tamil Nadu)",0,2,4,6,0.0
"Multi-States (Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura, West Bengal)",0,0,1,1,0.0
"Multi-States (Bihar, Delhi, Jharkhand, Uttar Pradesh, West Bengal)",0,1,0,1,0.0
"Multi-States (Assam, Nagaland)",0,1,1,2,0.0
"Multi-States (Karnataka, Kerala)",0,0,1,1,0.0
"Multi-States (Jammu and Kashmir, Punjab)",0,1,1,2,0.0
"Multi-States (Haryana, Punjab)",0,1,3,4,0.0
"Multi-States (Jharkhand, Odisha, West Bengal)",0,1,0,1,0.0
"Multi-States (Himachal Pradesh, Uttarakhand)",0,1,0,1,0.0
"Multi-States (Haryana, Uttar Pradesh)",0,1,2,3,0.0
"Multi-States (Haryana, Himachal Pradesh)",0,0,1,1,0.0
"Multi-States (Gujarat, Maharashtra)",0,1,2,3,0.0
"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",0,0,1,1,0.0
"Multi-States (Bihar, Odisha, West Bengal)",0,0,1,1,0.0
"Multi-States (Delhi, Rajasthan)",0,0,2,2,0.0
"Multi-States (Delhi, Haryana)",0,1,1,2,0.0
"Multi-States (Gujarat, Haryana, Punjab, Rajasthan)",0,0,1,1,0.0
"Multi-States (Gujarat, Haryana, Rajasthan)",0,1,0,1,0.0
"Multi-States (Bihar, Jharkhand, Uttar Pradesh, West Bengal)",0,0,1,1,0.0
"Multi-States (Bihar, Madhya Pradesh, Rajasthan, Uttar Pradesh)",0,1,0,1,0.0
"Multi-States (Chhattisgarh, Maharashtra)",0,2,1,3,0.0
"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",0,0,2,2,0.0
"Multi-States (Bihar, West Bengal)",0,2,1,3,0.0
"Multi-States (Haryana, Punjab, Rajasthan)",0,1,0,1,0.0
"Multi-States (Haryana, Rajasthan)",0,2,1,3,0.0
"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",0,0,1,1,0.0
"Multi-States (Punjab, Rajasthan)",0,1,0,1,0.0
"Multi-States (Madhya Pradesh, Rajasthan, Uttar Pradesh)",0,1,1,2,0.0
"Multi-States (Karnataka, Telangana)",0,0,3,3,0.0
"Multi-States (Uttar Pradesh, West Bengal)",0,0,1,1,0.0
Puducherry,0,1,0,1,0.0
"Multi-States (Uttar Pradesh, Uttarakhand)",0,1,5,6,0.0
Rajasthan,0,42,9,51,0.0
Tripura,0,9,1,10,0.0
