report_month,project_code,project_name,state,sector,ministry_final,agency_final,approval_date,start_date,original_doc,revised_doc,original_cost,revised_cost,expenditure,physical_progress,legacy_ocms_code,pmgid,source_file,source_sheet,cost_increase,expenditure_ratio,previous_progress,progress_change,previous_expenditure,expenditure_change,previous_report_month,days_since_previous,progress_velocity,expenditure_velocity,previous_observations,months_observed,days_since_first_report,has_physical_progress,has_expenditure,has_original_cost,future_cost_overrun
2025-05-01,220100188,"NANGALDAM-TALWARA(NL),NR",,,,NR,3-1981,,,,2018.0,603.0,1579.04,75.0,,,Apr-May 2025.xlsx,All Ongoing Projects,False,78.24777006937562,75.0,0.0,,,2025-03-01,61.0,0.0,,1,2,61,1,1,1,0
2025-05-01,220100232,"LALITPUR-SATNA-REWA- SINGRULI NL, (NCR)",,,,WCR,9-1998,,,,8913.94,63.57,2520.04,43.0,,,Apr-May 2025.xlsx,All Ongoing Projects,False,28.270775885859674,43.0,0.0,,,2025-03-01,61.0,0.0,,1,2,61,1,1,1,0
2025-05-01,220100257,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),,POWER,,ECR,4-1997,,,,614.45,614.45,474.57,52.0,,,Apr-May 2025.xlsx,All Ongoing Projects,False,77.23492554316867,52.0,0.0,483.57,-9.0,2025-03-01,61.0,0.0,-0.14754098360655737,1,2,61,1,1,1,0
2025-02-01,400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],01/2022,01/2022,,,4546.26,4546.26,4482.15,96.0,,,JAN-FEB 2025.xlsx,Table6_All_Ongoing_Projects,False,98.58982988214487,,,,,,,,,0,1,0,1,1,1,0
2025-07-01,400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],07/2022,,,,4546.26,4546.26,4148.46,93.0,,,June-July 2025.xlsx,July_Table4_All_Projects,False,91.24995050876984,96.0,-3.0,4482.15,-333.6899999999996,2025-02-01,150.0,-0.02,-2.2245999999999975,1,2,150,1,1,1,0
2025-11-01,400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],01/2022 (07/2022),,,,4546.26,4546.26,4318.95,94.0,,,Nov-Dec 2025.xlsx,November_T6_All_Projects,False,95.00006598830686,93.0,1.0,4210.3,108.64999999999964,2025-10-01,31.0,0.03225806451612903,3.5048387096774074,4,5,273,1,1,1,0
2025-12-01,400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],01/2022 (07/2022),,,,4546.26,4546.26,4358.49,95.0,,,Nov-Dec 2025.xlsx,December_T6_All_Projects,False,95.86979187288011,94.0,1.0,4318.95,39.539999999999964,2025-11-01,30.0,0.03333333333333333,1.3179999999999987,5,6,303,1,1,1,0
2025-02-01,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,Odisha,Railways,Ministry of Railways,South Eastern Railway [SER] - I,10/2021,10/2021,,,808.99,808.99,542.88,32.0,,,JAN-FEB 2025.xlsx,Table6_All_Ongoing_Projects,False,67.10589747710107,,,,,,,,,0,1,0,1,1,1,0
2025-12-01,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,Odisha,Railways,Ministry of Railways,South Eastern Railway [SER] - I,10/2021 (10/2021),,,,808.99,808.99,505.01,31.0,,,Nov-Dec 2025.xlsx,December_T6_All_Projects,False,62.42475185107356,32.0,-1.0,542.88,-37.870000000000005,2025-02-01,303.0,-0.0033003300330033004,-0.12498349834983499,1,2,303,1,1,1,0
2026-05-01,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,Odisha,Railways,Ministry of Railways,South Eastern Railway [SER] - I,10/2021,10/2021,,,808.99,808.99,701.15,38.0,-,4689,April-May 2026.xlsx,All Ongoing Projects,False,86.66979814336393,31.0,7.0,505.01,196.14,2025-12-01,151.0,0.046357615894039736,1.2989403973509932,2,3,454,1,1,1,0
2025-02-01,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Ladakh,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],07/2018,07/2018,,,480.0,640.0,492.21,78.0,,,JAN-FEB 2025.xlsx,Table6_All_Ongoing_Projects,True,102.54375,,,,,,,,,0,1,0,1,1,1,1
2025-07-01,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Ladakh,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],09/2018,,,,480.0,640.0,427.04,67.0,,,June-July 2025.xlsx,July_Table4_All_Projects,True,88.96666666666667,78.0,-11.0,492.21,-65.16999999999996,2025-02-01,150.0,-0.07333333333333333,-0.4344666666666664,1,2,150,1,1,1,1
2025-11-01,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Ladakh,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],07/2018 (09/2018),,,,480.0,640.0,483.12,78.0,,,Nov-Dec 2025.xlsx,November_T6_All_Projects,True,100.64999999999999,77.0,1.0,471.59,11.53000000000003,2025-10-01,31.0,0.03225806451612903,0.3719354838709687,4,5,273,1,1,1,1
2025-12-01,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Ladakh,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],07/2018 (09/2018),,,,480.0,640.0,484.6,78.0,,,Nov-Dec 2025.xlsx,December_T6_All_Projects,True,100.95833333333333,78.0,0.0,483.12,1.4800000000000182,2025-11-01,30.0,0.0,0.04933333333333394,5,6,303,1,1,1,1
2026-05-01,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Ladakh,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],07/2018,09/2018,,,480.0,640.0,501.81,78.9,N04000078,4665,April-May 2026.xlsx,All Ongoing Projects,True,104.54375,78.0,0.9000000000000057,484.6,17.20999999999998,2025-12-01,151.0,0.005960264900662289,0.1139735099337747,6,7,454,1,1,1,1
2025-02-01,400012,Kandla Gorakhpur LPG Pipeline,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,12/2018,12/2018,,,10088.0,10088.0,8056.6,94.0,,,JAN-FEB 2025.xlsx,Table6_All_Ongoing_Projects,False,79.86320380650278,,,,,,,,,0,1,0,1,1,1,0
2025-07-01,400012,Kandla Gorakhpur LPG Pipeline,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,12/2018,,,,10088.0,10088.0,7598.13,92.0,,,June-July 2025.xlsx,July_Table4_All_Projects,False,75.31849722442506,94.0,-2.0,8056.6,-458.47000000000025,2025-02-01,150.0,-0.013333333333333334,-3.0564666666666684,1,2,150,1,1,1,0
2025-11-01,400012,Kandla Gorakhpur LPG Pipeline,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,12/2018 (12/2018),,,,10088.0,10088.0,8135.69,93.0,,,Nov-Dec 2025.xlsx,November_T6_All_Projects,False,80.64720459952419,93.0,0.0,8059.53,76.15999999999985,2025-10-01,31.0,0.0,2.4567741935483824,4,5,273,1,1,1,0
2025-12-01,400012,Kandla Gorakhpur LPG Pipeline,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,12/2018 (12/2018),,,,10088.0,10088.0,8217.69,94.0,,,Nov-Dec 2025.xlsx,December_T6_All_Projects,False,81.46005154639175,93.0,1.0,8135.69,82.00000000000091,2025-11-01,30.0,0.03333333333333333,2.7333333333333636,5,6,303,1,1,1,0
2026-05-01,400012,Kandla Gorakhpur LPG Pipeline,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,12/2018,12/2018,,,10088.0,10088.0,8529.58,95.2,-,4509,April-May 2026.xlsx,All Ongoing Projects,False,84.55174464710548,94.0,1.2000000000000028,8217.69,311.8899999999994,2025-12-01,151.0,0.007947019867549688,2.065496688741718,6,7,454,1,1,1,0
