feature,shap_value,absolute_shap,feature_value,direction
expenditure_ratio,3.4904022,3.4904022,168.5640362225097,INCREASES RISK
state_Himachal Pradesh,1.2531981,1.2531981,1.0,INCREASES RISK
expenditure,0.44848007,0.44848007,1159.67,INCREASES RISK
physical_progress,0.23304775,0.23304775,79.59,INCREASES RISK
agency_final_National Highways Authority of India _NHAI_,-0.104810804,0.104810804,0.0,DECREASES RISK
progress_change,0.09585592,0.09585592,2.0799999999999983,INCREASES RISK
previous_progress,0.077752344,0.077752344,77.51,INCREASES RISK
sector_Coal,0.07611003,0.07611003,0.0,INCREASES RISK
approval_date_Unknown,0.062409513,0.062409513,1.0,INCREASES RISK
sector_Electricity Generation,0.038452744,0.038452744,1.0,INCREASES RISK
