feature,importance
expenditure_ratio,20.83738955043114
physical_progress,8.251932950081825
ministry_final_Ministry_of_Coal,7.700638885996407
expenditure,7.518295930257713
sector_Coal,7.27985733546322
original_cost,6.817915816922241
agency_final_National_Highways_Authority_of_India_(NHAI),3.7822292771143395
previous_expenditure,2.1391234843143456
sector_Metals___Mining,1.349927018205409
ministry_final_Unknown,1.3393154031976833
previous_progress,1.2657723372683487
state_Himachal_Pradesh,1.1662531370657445
state_Rajasthan,1.1645691187357963
agency_final_East_Coast_Railway_(ECoR)_-_II,1.0211874937014793
sector_Waste___Water,0.9704801942499216
sector_Transmission___Distribution,0.9648291259472667
sector_Railways,0.9246522458191327
state_Unknown,0.8555851755424345
state_Andhra_Pradesh,0.7548301269008505
agency_final_MinistryofPetroleumNaturalGas,0.6968073973557962
state_Bihar,0.6851824033911943
ministry_final_Ministry_of_Road_Transport___Highways,0.6710733304894659
agency_final_National_Thermal_Power_Corporation_(NTPC),0.6649457776137728
state_Punjab,0.6507541544542169
state_Manipur,0.6088615683259051
ministry_final_Department_of_Telecommunications,0.4682828763020881
state_Chhattisgarh,0.4573188721498051
expenditure_velocity,0.4464832140462576
sector_Roads___Highways,0.44604349072769583
days_since_previous,0.4346482663078408
agency_final_NHIDCL,0.4211139145651441
approval_date_12_2023_(12_2023),0.42093096384823203
ministry_final_Ministry_of_Health___Family_Welfare,0.40878867461616786
state_Gujarat,0.40860088569022335
progress_change,0.3881936760611986
agency_final_RVNL_-_II,0.37322506696859403
state_Multi-States_(Bihar__Jharkhand),0.36872709732596903
expenditure_change,0.3555878309029452
ministry_final_Ministry_of_Power,0.34329833090529477
sector_Oil___Gas,0.34276252817235037
sector_Real_Estate,0.3278518971118525
approval_date_12_2023,0.3257586933714091
state_Multi-States_(Delhi__Gujarat__Madhya_Pradesh__Maharashtra__Rajasthan),0.29610141459012346
sector_Unknown,0.2920519866741194
agency_final_North_Western_Railway_(NWR),0.2908449413689851
ministry_final_Ministry_of_Railways,0.2827017363528666
previous_observations,0.28015034646621667
sector_Urban_Public_Transport,0.2719920608291355
agency_final_National_Mission_for_Clean_Ganga,0.2697279721275734
sector_Steel,0.26907381918480183
state_Odisha,0.2690066287754932
sector_Education,0.25577872234364446
agency_final_South_East_Central_Railway_(SECR)_-_II,0.25522260550035764
state_Haryana,0.21288403950816148
agency_final_ministry_of_housing_and_urban_affairs,0.20947926989283594
progress_velocity,0.20904060998906762
approval_date_09_2021_(09_2021),0.20737616106624288
state_Kerala,0.197197998308909
approval_date_01_2022_(01_2022),0.19392409129991908
state_Madhya_Pradesh,0.19100014663379597
ministry_final_Ministry_of_Petroleum___Natural_Gas,0.18976967019121962
agency_final_Sikkim_University,0.18731723711476816
agency_final_Karnataka_Rail_Infrastructure_Development_Company_Limited_(K-RIDE),0.18573949837476222
state_Multi-States_(Himachal_Pradesh__Punjab),0.18337820327359697
state_Jammu_and_Kashmir,0.1792694245652584
agency_final_Hindustan_Petroleum_Corporation_Limited,0.1747265596569131
agency_final_Railway,0.17137435423249203
ministry_final_Department_of_Water_Resources__River_Development___GR,0.1675639968705695
state_Multi-States_(Madhya_Pradesh__Uttar_Pradesh),0.16582803171018926
sector_Telecommunication,0.1555066758348885
days_since_first_report,0.1507379918636963
state_Multi-States_(Haryana__Himachal_Pradesh),0.1436901052184345
agency_final_Mumbai_Rail_Vikas_Corporation_Ltd.(MRVC),0.13859724351276664
state_Arunachal_Pradesh,0.1365344902845058
state_Tamil_Nadu,0.1328107229718544
state_Karnataka,0.13082426523479262
agency_final_Airport_Authority_of_India_(AAI),0.12811081583718725
agency_final_Haldia_Dock_Complex__Syama_Prasad_Mookerjee_Port_Authority,0.1211246569320304
agency_final_National_Institute_of_Technology_Delhi,0.12100180282125421
state_Andaman___Nicobar,0.1153973793046429
ministry_final_Ministry_of_Housing___Urban_Affairs,0.11395675647346375
months_observed,0.11266435152695732
agency_final_Oil_and_Natural_Gas_Corporation_Limited_(ONGC),0.10838379394204736
agency_final_Maharashtra_Metro_Rail_Corporation_Limited_(MMRCL),0.1081075200215534
approval_date_03_2016_(11_2017),0.10652612638019049
agency_final_Bharat_Petroleum_Corporation_Limited_(BPCL),0.1055816610455918
state_Meghalaya,0.10534698696181198
sector_Energy_Storage,0.10428356861845957
approval_date_03_2023,0.10210196182191428
agency_final_CR,0.09981868984842845
agency_final_Northern_Railways,0.09742800372925306
start_date_03_2016,0.09481817575563052
agency_final_Department_of_Water_Resources__River_Development___GR,0.0894347979737281
approval_date_10_2021,0.0874000704748839
