Month,state,sector,Sl No,project_name,agency,project_code,approval_date,original_doc,revised_doc,Commissioning Anticipated,original_cost,revised_cost,Cost Anticipated (Rs Cr),expenditure,physical_progress,report_month,source_file,source_sheet,Report Month,Sl.No,ministry,Legacy OCMS Code,PMGID,start_date,Original/Target DoC (MM/YYYY),Target DoC (MM/YYYY),DoC - Anticipated (MM/YYYY),Anticipated Cost (Rs. Crore),revised_start_date,Cumulative Expenditure (Rs Crore),Original Target DoC (MM/YYYY),Page,Agency Name,Date of Commissioning Original/(Revised)/{Anticipated} (MM/YYYY),Cost Original/(Revised)/{Anticipated} (Rs. Crore)
,,"URBAN
DEVELOPMENT",,GEVRA EXPANSION OCP (SECL) (35-70) MTY,,060100093,6-2010,,,,,,,6617.04,77.2,2025-03,March n Q1 2025.xlsx,QPISR_T7_AllOngoing,,300.0,,,,,,,,,,,,,SECL,3/2023 (01-03-2026) {3/2026},"11,816.40 (N.A.) {11,816.40}"
May 2025,,WATER RESOURCES,284.0,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,060100093,6-2010,3/2023,Mar-2026,3/2026,11816.4,,11816.4,6596.25,77.2,2025-05,Apr-May 2025.xlsx,All Ongoing Projects,,,,,,,,,,,,,,,,,
,CHHATTISGARH,URBAN DEVELOPMENT,,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,060100093,6-2010,3/2023,Mar-2026,,11816.4,,,6617.04,77.2,2025-07,June-July 2025.xlsx,June_Table7_All_Projects,,282.0,,,,,,,3/2026,"11,816.40",,,,,,,
,PAN India,Telecommunication,,"Amended BharatNet Program - KTK, GOA, PY",(Department of Telecommunications),108841,08/2023,06/2028,,,3742.0,3742.0,,,8.15,2026-07,June-July 2026.xlsx,All Ongoing Projects,July 2026,1714.0,Department of Telecommunications,-,-,,,,,,06/2025,435.31,,,,,
,PAN India,Telecommunication,,Amended BharatNet Program - HR,(Department of Telecommunications),124199,08/2023,03/2029,,,837.0,837.0,,,0.0,2026-07,June-July 2026.xlsx,All Ongoing Projects,July 2026,1715.0,Department of Telecommunications,-,-,,,,,,03/2026,83.68,,,,,
,PAN India,Telecommunication,,Amended BharatNet Program - PB,(Department of Telecommunications),171218,08/2023,02/2028,,,1245.0,1245.0,,,26.58,2026-07,June-July 2026.xlsx,All Ongoing Projects,July 2026,1716.0,Department of Telecommunications,-,-,,,,,,02/2025,0.0,,,,,
,PAN India,Telecommunication,,"Amended BharatNet Program - MP, DD and DNH",(Department of Telecommunications),175860,06/2023,05/2028,,,4943.0,4943.0,,,8.4,2026-07,June-July 2026.xlsx,All Ongoing Projects,July 2026,1717.0,Department of Telecommunications,-,-,,,,,,05/2025,562.13,,,,,
,,POWER,,PARBATI HEP (4X200 MW) (NHPC) II,,180100210,9-2002,,,,,,,12832.59,100.0,2025-03,March n Q1 2025.xlsx,QPISR_T7_AllOngoing,,504.0,,,,,,,,,,,,,NHPC,9/2009 (01-04-2025) {4/2025},"3,919.59 (N.A.) {13,045.00}"
April 2025,,POWER,480.0,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,180100210,9-2002,9/2009,4/2025,4/2025,3919.59,,13045.0,12832.59,100.0,2025-05,Apr-May 2025.xlsx,All Ongoing Projects,,,,,,,,,,,,,,,,,
,,POWER,,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),,180100221,9-2003,,,,,,,24484.77,96.6,2025-03,March n Q1 2025.xlsx,QPISR_T7_AllOngoing,,119.0,,,,,,,,,,,,,NHPC,9/2010 (N.A.) {5/2026},"6,285.33 (N.A.) {26,075.54}"
