report_month,sl_no,ministry,sector,project_name,implementing_agency,project_code,state,approval_date_start_date_mm_yyyy,revised_approval_start_date_mm_yyyy,original_target_doc_mm_yyyy,revised_doc_mm_yyyy,original_cost_rs._crore,revised_cost_rs._crore,cumulative_expenditure_rs._crore,physical_progress_%,source_file,source_sheet,agency_name,approval_date,date_of_commissioning_original_revised_{anticipated}_mm_yyyy,cost_original_revised_{anticipated}_rs._crore,month,agency,commissioning_original,commissioning_revised,commissioning_anticipated,cost_original_rs_cr,cost_revised_rs_cr,cost_anticipated_rs_cr,cumulative_expenditure_rs_cr,doc_-_original_mm_yyyy,doc_-_revised_mm_yyyy,doc_-_anticipated_mm_yyyy,anticipated_cost_rs._crore,ministry_department,target_doc_mm_yyyy,start_date,target_doc_original,target_doc_revised,original_cost_rs_cr,revised_cost_rs_cr,legacy_ocms_code,pmgid,date_of_approval_start_date,revised_start_date,original_doc,revised_doc,original_cost_rs_crore,revised_cost_rs_crore,cumulative_expenditure_rs_crore
2025-03,300,,"URBAN
DEVELOPMENT",GEVRA EXPANSION OCP (SECL) (35-70) MTY,,060100093,,,,,,,,"6,617.04",77.2,March n Q1 2025.xlsx,QPISR_T7_AllOngoing,SECL,6-2010,3/2023 (01-03-2026) {3/2026},"11,816.40 (N.A.) {11,816.40}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05,284,,,GEVRA EXPANSION OCP (SECL) (35-70) MTY,,060100093,CHHATTISGARH,,,,,,,,77.2,Apr-May 2025.xlsx,All Ongoing Projects,,6-2010,,,April 2025,SECL,3/2023,3/2026,3/2026,11816.4,,11816.4,6584.29,,,,,,,,,,,,,,,,,,,,
2025-06,282,,URBAN DEVELOPMENT,GEVRA EXPANSION OCP (SECL) (35-70) MTY,,060100093,CHHATTISGARH,,,,,"11,816.40",N.A.,"6,617.04",77.20,June-July 2025.xlsx,June_Table7_All_Projects,,6-2010,,,,SECL,,,,,,,,3/2023,Mar-2026,3/2026,"11,816.40",,,,,,,,,,,,,,,,
2026-07,1800,,Telecommunication,"Amended BharatNet Program - KTK, GOA, PY",,108841,PAN India,,,,,,,,0.0,June-July 2026.xlsx,All Ongoing Projects,,,,,,(Department of Telecommunications),,,,,,,,,,,,Department of Telecommunications,,,,,,,-,-,08/2023,06/2025,06/2028,,3742.0,3742.0,435.31
2026-07,1715,,Telecommunication,Amended BharatNet Program - HR,,124199,PAN India,,,,,,,,0.0,June-July 2026.xlsx,All Ongoing Projects,,,,,,(Department of Telecommunications),,,,,,,,,,,,Department of Telecommunications,,,,,,,-,-,08/2023,03/2026,03/2029,,837.0,837.0,83.68
2026-07,1716,,Telecommunication,Amended BharatNet Program - PB,,171218,PAN India,,,,,,,,26.58,June-July 2026.xlsx,All Ongoing Projects,,,,,,(Department of Telecommunications),,,,,,,,,,,,Department of Telecommunications,,,,,,,-,-,08/2023,02/2025,02/2028,,1245.0,1245.0,0.0
2026-07,1717,,Telecommunication,"Amended BharatNet Program - MP, DD and DNH",,175860,PAN India,,,,,,,,8.4,June-July 2026.xlsx,All Ongoing Projects,,,,,,(Department of Telecommunications),,,,,,,,,,,,Department of Telecommunications,,,,,,,-,-,06/2023,05/2025,05/2028,,4943.0,4943.0,562.13
2025-03,504,,POWER,PARBATI HEP (4X200 MW) (NHPC) II,,180100210,,,,,,,,"12,832.59",100.0,March n Q1 2025.xlsx,QPISR_T7_AllOngoing,NHPC,9-2002,9/2009 (01-04-2025) {4/2025},"3,919.59 (N.A.) {13,045.00}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05,480,,POWER,PARBATI HEP (4X200 MW) (NHPC) II,,180100210,,,,,,,,,100,Apr-May 2025.xlsx,All Ongoing Projects,,9-2002,,,April 2025,NHPC,9/2009,4/2025,4/2025,3919.59,,13045.0,12832.59,,,,,,,,,,,,,,,,,,,,
2025-03,119,,POWER,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),,180100221,,,,,,,,"24,484.77",96.6,March n Q1 2025.xlsx,QPISR_T7_AllOngoing,NHPC,9-2003,9/2010 (N.A.) {5/2026},"6,285.33 (N.A.) {26,075.54}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
