report_month,project_code,original_cost,expenditure,expenditure_ratio,physical_progress,previous_progress,progress_change,progress_velocity,previous_expenditure,expenditure_change,expenditure_velocity,previous_observations,months_observed,days_since_first_report,has_physical_progress,has_expenditure,has_original_cost,state,sector,ministry_final,agency_final,start_date,original_doc,future_time_delay
2025-02-01,400005,4546.26,4482.15,98.58982988214488,96.0,,,,,,,0,1,0,1,1,1,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],01/2022,,1
2025-07-01,400005,4546.26,4148.46,91.24995050876984,93.0,96.0,-3.0,-0.02,4482.15,-333.6899999999996,-2.224599999999997,1,2,150,1,1,1,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-11-01,400005,4546.26,4318.95,95.00006598830686,94.0,93.0,1.0,0.032258064516129,4210.3,108.64999999999964,3.5048387096774074,4,5,273,1,1,1,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-12-01,400005,4546.26,4358.49,95.86979187288011,95.0,94.0,1.0,0.0333333333333333,4318.95,39.53999999999997,1.3179999999999987,5,6,303,1,1,1,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-02-01,400035,656.0,500.52,76.29878048780488,94.0,,,,,,,0,1,0,1,1,1,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],06/2022,,1
2025-07-01,400035,656.0,465.73,70.9954268292683,84.0,94.0,-10.0,-0.0666666666666666,500.52,-34.789999999999964,-0.2319333333333331,1,2,150,1,1,1,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],,,1
2025-11-01,400035,656.0,519.02,79.11890243902438,90.0,89.0,1.0,0.032258064516129,509.92,9.099999999999966,0.2935483870967731,4,5,273,1,1,1,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],,,1
2025-12-01,400035,656.0,526.86,80.31402439024392,92.0,90.0,2.0,0.0666666666666666,519.02,7.840000000000032,0.2613333333333344,5,6,303,1,1,1,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],,,1
2025-02-01,400078,9028.0,7290.7,80.75653522374834,89.0,,,,,,,0,1,0,1,1,1,"Multi-States (Gujarat, Haryana, Rajasthan)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,12/2021,,1
2025-07-01,400078,9028.0,7071.08,78.32388125830748,84.0,89.0,-5.0,-0.0333333333333333,7290.7,-219.6199999999999,-1.4641333333333326,1,2,150,1,1,1,"Multi-States (Gujarat, Haryana, Rajasthan)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2025-11-01,400078,9028.0,7357.45,81.49590163934425,86.0,86.0,0.0,0.0,7292.34,65.10999999999967,2.100322580645151,4,5,273,1,1,1,"Multi-States (Gujarat, Haryana, Rajasthan)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2025-12-01,400078,9028.0,7394.54,81.90673460345592,88.0,86.0,2.0,0.0666666666666666,7357.45,37.09000000000015,1.2363333333333382,5,6,303,1,1,1,"Multi-States (Gujarat, Haryana, Rajasthan)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2026-05-01,400078,9028.0,7160.82,79.31789986708019,91.4,88.0,3.4000000000000057,0.0225165562913907,7394.54,-233.72000000000023,-1.5478145695364256,6,7,454,1,1,1,"Multi-States (Gujarat, Haryana, Rajasthan)",Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,12/2021,,1
2025-02-01,400161,910.56,1073.0,117.8395712528554,99.0,,,,,,,0,1,0,1,1,1,Uttar Pradesh,Oil & Gas,Ministry of Petroleum & Natural Gas,Gas Authority of India Limited [GAIL],03/2019,,1
2025-07-01,400161,910.56,1004.0,110.26181690388331,97.0,99.0,-2.0,-0.0133333333333333,1073.0,-69.0,-0.46,1,2,150,1,1,1,Uttar Pradesh,Oil & Gas,Ministry of Petroleum & Natural Gas,Gas Authority of India Limited [GAIL],,,1
2025-11-01,400161,910.56,1051.0,115.42347566332806,99.0,98.0,1.0,0.032258064516129,1041.0,10.0,0.3225806451612903,4,5,273,1,1,1,Uttar Pradesh,Oil & Gas,Ministry of Petroleum & Natural Gas,Gas Authority of India Limited [GAIL],,,1
2025-07-01,400235,676.89,518.22,76.55896822231087,77.0,,,,,,,0,1,0,1,1,1,Jammu and Kashmir,Energy Storage,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],,,1
2025-11-01,400235,676.89,559.45,82.65006130981402,87.0,84.0,3.0,0.0967741935483871,550.45,9.0,0.2903225806451613,3,4,123,1,1,1,Jammu and Kashmir,Energy Storage,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],,,1
