feature,coefficient,absolute_importance
cost_growth,14.203047596154265,14.203047596154265
sector_Coal,-1.4388493150008166,1.4388493150008166
ministry_final_Ministry of Railways,-0.784937853813961,0.784937853813961
agency_final_National Highways Authority of India [NHAI],0.7673475118620516,0.7673475118620516
sector_Railways,0.7625026172265035,0.7625026172265035
ministry_final_Ministry of Coal,0.7411839183165034,0.7411839183165034
physical_progress,0.7306883004292263,0.7306883004292263
sector_Metals & Mining,0.5386744018981323,0.5386744018981323
state_Manipur,-0.49757418069933457,0.49757418069933457
sector_Steel,-0.4385081366299558,0.4385081366299558
"state_Multi-States (Madhya Pradesh, Uttar Pradesh)",-0.39952804808828996,0.39952804808828996
"state_Multi-States (Delhi, Gujarat, Madhya Pradesh, Maharashtra, Rajasthan)",0.3903228602194352,0.3903228602194352
agency_final_Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,-0.3855833663230218,0.3855833663230218
original_cost,0.38494030005118746,0.38494030005118746
"state_Multi-States (Odisha, West Bengal)",0.37892301840014847,0.37892301840014847
agency_final_National Aluminium Company Limited [NALCO],-0.37397515332122844,0.37397515332122844
ministry_final_Ministry of Power,0.3693115230571194,0.3693115230571194
"state_Multi-States (Madhya Pradesh, Rajasthan)",-0.3607186019158806,0.3607186019158806
"state_Multi-States (Jharkhand, Odisha)",0.3414067389684484,0.3414067389684484
agency_final_Western Coalfields Limited [WCL],-0.33108011652323766,0.33108011652323766
sector_Urban Public Transport,0.3301140701905233,0.3301140701905233
sector_PETROLEUM,0.32297674469844145,0.32297674469844145
sector_Electricity Generation,0.3198063635238243,0.3198063635238243
state_Meghalaya,-0.3061593515312002,0.3061593515312002
agency_final_PCE/WR,-0.29432306612997966,0.29432306612997966
agency_final_BSNL,-0.2908436559600754,0.2908436559600754
state_West Bengal,0.29052409111880273,0.29052409111880273
agency_final_South Eastern Coalfields Limited [SECL],-0.28768547880447387,0.28768547880447387
agency_final_MinistryofPetroleumNaturalGas,0.2857752251938398,0.2857752251938398
agency_final_Sikkim University,0.2832408262224037,0.2832408262224037
agency_final_Hindustan Petroleum Corporation Limited [HPCL],-0.2811773887565463,0.2811773887565463
agency_final_Eastern Coal Fields Limited [ECL],-0.274492621106188,0.274492621106188
ministry_final_Ministry of Steel,-0.27089025440359293,0.27089025440359293
"state_Multi-States (Haryana, Himachal Pradesh)",0.27066220243648864,0.27066220243648864
agency_final_Ministry of Housing & Urban Affairs,0.2692653544325192,0.2692653544325192
sector_Waste & Water,-0.2690403424711853,0.2690403424711853
agency_final_North Eastern Electric Power Corporation Limited,-0.2674219993903417,0.2674219993903417
agency_final_National Mission for Clean Ganga,-0.2665112789351523,0.2665112789351523
agency_final_Madhya Pradesh Metro Rail Co Limited [MPMRCL],-0.25577501959175203,0.25577501959175203
agency_final_Northern Coalfields Limited [NCL],0.25333313743414493,0.25333313743414493
state_Andhra Pradesh,-0.2524056556516615,0.2524056556516615
agency_final_Adani Airport Holdings Limited,0.247617979416175,0.247617979416175
agency_final_National Institute of Technology Delhi,0.24584322224550478,0.24584322224550478
agency_final_Water Resources-MP,0.24580030937391079,0.24580030937391079
state_Gujarat,0.24389560780883057,0.24389560780883057
"state_Multi-States (Andhra Pradesh, Karnataka)",-0.23917155534487183,0.23917155534487183
agency_final_Chennai Metro Rail Limited [CMRL],-0.23858703355185074,0.23858703355185074
"state_Multi-States (Bihar, Jharkhand)",0.23826417411078776,0.23826417411078776
agency_final_Inland Waterways Authority of India [IWAI],0.23117040475883785,0.23117040475883785
state_Punjab,0.23108606473747886,0.23108606473747886
ministry_final_Ministry of Mines,-0.23093340350570835,0.23093340350570835
"state_Multi-States (Haryana, Rajasthan)",-0.22773484694796453,0.22773484694796453
agency_final_Adani Transmission Limited,-0.2242781351316812,0.2242781351316812
"state_Multi-States (Chhattisgarh, Maharashtra)",-0.22151714237844633,0.22151714237844633
agency_final_Singareni Collieries Company Limited [SCCL],-0.22003430401502708,0.22003430401502708
agency_final_Water Resources Department-MN,0.2187399326711413,0.2187399326711413
agency_final_Mumbai Rail Vikas Corporation Ltd.[MRVC],-0.21790830079331064,0.21790830079331064
agency_final_Hindustan Copper Limited [HCL],0.21697198402660298,0.21697198402660298
