project_code,number_of_months
060100093,3
108841,1
124199,1
171218,1
175860,1
180100210,2
180100221,3
180100242,3
210914,1
220100133,2
220100181,3
220100188,3
220100232,3
220100257,3
220100265,3
220100272,3
220100284,3
220100288,3
220100303,3
220100305,3
220100314,3
220100328,3
222253,1
240484,1
245986,1
298178,1
317725,1
364934,1
400005,7
400006,4
400010,8
400012,8
400013,8
400018,8
400019,8
400022,8
400023,8
400033,8
400035,7
400043,8
400045,8
400047,4
400048,4
400062,8
400065,4
400073,8
400074,8
400077,6
400078,8
400081,6
400087,8
400093,7
400094,1
400095,7
400096,7
400097,7
400100,8
400101,8
400102,8
400103,8
400104,6
400105,7
400107,7
400109,7
400111,8
400112,7
400115,8
400116,8
400117,2
400119,8
400120,8
400121,8
400136,8
400138,8
400139,8
400141,8
400142,8
400144,8
400145,4
400147,2
400148,8
400149,8
400150,8
400151,8
400152,6
400153,8
400154,8
400155,8
400156,8
400158,4
400160,8
400161,6
400162,8
400165,8
400166,8
400167,8
400168,8
400169,8
400171,8
400172,8
400173,8
400174,8
400177,8
400178,8
400179,1
400180,8
400181,8
400182,7
400183,8
400185,8
400186,8
400187,8
400188,8
400192,8
400203,8
400204,8
400205,8
400220,8
400223,8
400231,8
400232,8
400234,5
400235,5
400247,8
400253,8
400254,8
400259,7
400261,8
400271,8
400273,8
400275,8
400277,8
400280,8
400291,8
400298,8
400299,8
400301,8
400312,8
400313,6
400315,8
400321,8
400352,8
400353,8
400354,8
400369,8
400382,6
400392,8
400416,8
400424,8
400425,8
400426,8
400429,1
425828,1
437130,1
462136,1
476006,1
478482,1
505491,1
547243,1
589703,1
601812,2
602096,8
602098,8
602099,8
602181,8
602182,8
602184,8
602185,8
602193,6
602194,4
602195,8
602223,8
602525,8
602532,8
602535,8
602538,8
602579,8
602582,8
602593,8
602633,6
602792,8
602797,8
602961,8
603210,2
603293,8
603945,8
604791,8
604792,2
604795,8
604833,8
604852,8
604853,8
604859,8
604863,8
605155,8
605156,8
605292,8
606013,8
606112,8
606431,8
606479,8
606781,3
607653,2
607701,7
607709,8
608301,3
608302,3
608922,3
609019,8
609041,2
609424,8
609736,8
609996,8
610315,8
610940,4
610984,8
610985,4
611016,7
611017,7
611047,8
611142,4
611440,1
611452,8
611495,8
611509,8
611570,8
611586,8
611602,8
611614,4
611615,4
611656,3
611657,5
611659,4
611660,3
611669,8
611698,8
611699,8
611716,2
611735,8
611737,3
611751,8
611752,8
611754,8
611798,3
611800,3
611849,6
611855,3
611861,8
611864,8
611884,8
611917,8
611918,8
611927,8
611929,8
611930,8
611937,4
611938,2
611939,2
611943,8
611944,6
611945,8
611947,7
611948,7
611949,8
611950,6
611951,6
611957,8
611961,2
611963,8
611966,8
611967,7
611969,2
611970,8
611971,8
611972,2
611973,2
611974,8
