Feature,Importance
expenditure_ratio,0.12187871095925464
expenditure,0.11770553584286314
physical_progress,0.10101202272640511
previous_expenditure,0.06279880977608429
previous_progress,0.05584502143896451
sector_Coal,0.04377419550320704
ministry_final_Ministry_of_Coal,0.043143766832601994
original_cost,0.04041332972983495
agency_final_National_Highways_Authority_of_India__NHAI_,0.026017260480209664
sector_Water_Resources,0.02218639389532108
ministry_final_Department_of_Water_Resources__River_Development___GR,0.016262167500395695
agency_final_MoRTH,0.014320754729533747
agency_final_NHIDCL,0.01351423046429556
ministry_final_Unknown,0.012846530882744685
agency_final_Western_Coalfields_Limited__WCL_,0.011861124048592464
state_Unknown,0.01152583558769187
expenditure_change,0.011116622428896102
expenditure_velocity,0.00943814101712174
sector_Unknown,0.008918446893475991
sector_Transmission___Distribution,0.007252380187374882
agency_final_Ministry_of_Coal,0.006609780316885282
agency_final_Power_Grid_Corporation_of_India_Limited__POWERGRID_,0.006312305180780693
sector_Electricity_Generation,0.005833854295339904
state_Himachal_Pradesh,0.005812057717382227
sector_Waste___Water,0.005454443566364782
ministry_final_Ministry_of_Road_Transport___Highways,0.005375750154421502
agency_final_South_Eastern_Coalfields_Limited__SECL_,0.004890987016581503
days_since_first_report,0.004716580840198227
agency_final_Central_Railway__CR____II,0.004442497556209298
state_Punjab,0.004420901494298093
agency_final_Airport_Authority_of_India__AAI_,0.004416103699157669
progress_change,0.004412755615248549
days_since_previous,0.004411600285564353
agency_final_Irrigation_and_CAD_TG,0.0040204345643229155
state_Rajasthan,0.004004683093670909
progress_velocity,0.0036942131523017463
agency_final_Eastern_Coal_Fields_Limited__ECL_,0.003659750593484427
sector_Roads___Highways,0.0035953315776886562
agency_final_Department_of_water_resources_MH___II,0.003111182685592371
state_Jharkhand,0.003090504681642636
previous_observations,0.002971787238200741
state_Haryana,0.0029202341598468513
months_observed,0.0029131432656577735
agency_final_National_Mission_for_Clean_Ganga,0.00268835142534926
agency_final_Central_Railway,0.0026761970791462386
sector_Metals___Mining,0.0024892477250788862
agency_final_Steel_Authority_of_India_Limited__SAIL_,0.002482140904251573
agency_final_National_Thermal_Power_Corporation__NTPC_,0.0024613336813729693
start_date_Unknown,0.002284740160433269
state_Bihar,0.002184031857970465
state_Manipur,0.0021097138092678537
start_date_02_2023,0.001996634061103382
agency_final_Ministry_of_Petroleum___Natural_Gas,0.0019931487040483584
state_Meghalaya,0.001912724277208166
approval_date_Unknown,0.0018645947909233821
approval_date_03_2024,0.001757449429876814
approval_date_03_2023,0.00175430583562039
sector_Steel,0.0017449997483158972
