threshold,accuracy,precision,recall,f1,tn,fp,fn,tp,confusion_matrix
0.2,0.7463976945244957,0.48175182481751827,0.7951807228915663,0.6,193,71,17,66,"[[193, 71], [17, 66]]"
0.25,0.7665706051873199,0.5079365079365079,0.7710843373493976,0.6124401913875598,202,62,19,64,"[[202, 62], [19, 64]]"
0.3,0.792507204610951,0.5523809523809524,0.6987951807228916,0.6170212765957447,217,47,25,58,"[[217, 47], [25, 58]]"
0.35,0.792507204610951,0.5555555555555556,0.6626506024096386,0.6043956043956044,220,44,28,55,"[[220, 44], [28, 55]]"
0.4,0.8126801152737753,0.6,0.6506024096385542,0.6242774566473989,228,36,29,54,"[[228, 36], [29, 54]]"
0.45,0.8328530259365994,0.6506024096385542,0.6506024096385542,0.6506024096385542,235,29,29,54,"[[235, 29], [29, 54]]"
0.5,0.8443804034582133,0.6986301369863014,0.6144578313253012,0.6538461538461539,242,22,32,51,"[[242, 22], [32, 51]]"
0.55,0.8328530259365994,0.6865671641791045,0.5542168674698795,0.6133333333333333,243,21,37,46,"[[243, 21], [37, 46]]"
0.6,0.829971181556196,0.7,0.5060240963855421,0.5874125874125874,246,18,41,42,"[[246, 18], [41, 42]]"
0.65,0.8270893371757925,0.7090909090909091,0.46987951807228917,0.5652173913043478,248,16,44,39,"[[248, 16], [44, 39]]"
0.7,0.8126801152737753,0.7045454545454546,0.37349397590361444,0.4881889763779528,251,13,52,31,"[[251, 13], [52, 31]]"
