Feature,Importance
agency_final_National_Highways_Authority_of_India__NHAI_,0.041339498
ministry_final_Ministry_of_Coal,0.03724664
expenditure_ratio,0.026273385
sector_Coal,0.026235804
sector_Real_Estate,0.02607771
state_Unknown,0.024507666
ministry_final_Unknown,0.022453986
agency_final_NHAI,0.019952869
sector_Metals___Mining,0.01576566
ministry_final_Ministry_of_Road_Transport___Highways,0.01434093
sector_Roads___Highways,0.013733134
sector_Aviation___Aviation_Infrastructure,0.013525172
state_Multi_States__Bihar__Jharkhand_,0.0131426025
sector_Transmission___Distribution,0.012056414
expenditure,0.011974672
sector_Healthcare,0.011542219
ministry_final_Ministry_of_Health___Family_Welfare,0.011149238
state_Punjab,0.010997339
state_Andhra_Pradesh,0.010990939
state_Tamil_Nadu,0.01087211
sector_Telecommunication,0.010601799
agency_final_MinistryofPetroleumNaturalGas,0.010533309
sector_Unknown,0.0105004115
agency_final_RVNL___II,0.010121474
physical_progress,0.010022073
state_Bihar,0.009835236
agency_final_Power_Grid_Corporation_of_India_Limited__POWERGRID_,0.009580901
agency_final_National_Mission_for_Clean_Ganga,0.009579724
state_Rajasthan,0.009472989
ministry_final_Department_of_Telecommunications,0.009338281
sector_Waste___Water,0.009316953
state_Himachal_Pradesh,0.009244054
agency_final_ministry_of_housing_and_urban_affairs,0.009173218
state_Karnataka,0.0091503905
agency_final_East_Coast_Railway__ECoR____II,0.009055466
state_Manipur,0.009017433
state_Uttar_Pradesh,0.00893908
ministry_final_Ministry_of_Steel,0.008905247
ministry_final_Ministry_of_Housing___Urban_Affairs,0.008847427
sector_Urban_Public_Transport,0.008834887
approval_date_12_2023__12_2023_,0.008754094
agency_final_NHIDCL,0.008710382
agency_final_North_Western_Railway__NWR_,0.008601718
ministry_final_Ministry_of_Power,0.008179645
state_Chhattisgarh,0.008168894
sector_Education,0.008014673
start_date_03_2023,0.007926155
agency_final_National_Thermal_Power_Corporation__NTPC_,0.007915896
approval_date_Unknown,0.007896204
agency_final_Ministry_of_Petroleum___Natural_Gas,0.007807545
state_Telangana,0.0077995206
state_Gujarat,0.0077326302
state_Maharashtra,0.0076663084
state_Jammu_and_Kashmir,0.007580383
ministry_final_Ministry_of_Petroleum___Natural_Gas,0.0075511127
sector_Railways,0.0075140316
original_cost,0.0074507515
approval_date_03_2023,0.0073062503
state_Nagaland,0.0072958944
ministry_final_Department_of_Water_Resources__River_Development___GR,0.007280026
sector_Energy_Storage,0.0072598765
sector_Electricity_Generation,0.0072526736
approval_date_02_2019,0.0071922033
sector_Steel,0.0068935426
sector_Water_Resources,0.0068706805
approval_date_01_2022,0.006857247
ministry_final_Ministry_of_Railways,0.0068397005
agency_final_Airport_Authority_of_India__AAI_,0.0067659854
approval_date_03_2016,0.0066307755
sector_Oil___Gas,0.006524138
approval_date_12_2022_1,0.006359627
state_Assam,0.006326219
start_date_02_2023,0.0062418785
progress_velocity,0.0062389276
state_Kerala,0.0060278475
state_Haryana,0.0060156174
ministry_final_Department_of_Higher_Education,0.0060109347
previous_progress,0.0060075154
approval_date_02_2023,0.0060068606
agency_final_East_Central_Railway__ECR____I,0.00594014
approval_date_12_2023,0.0057138433
progress_change,0.005690379
state_Odisha,0.0055887555
previous_expenditure,0.005580001
approval_date_12_2021_1,0.005545462
agency_final_Ministry_of_Coal,0.0053787413
approval_date_03_2021,0.005355948
expenditure_velocity,0.0052057193
approval_date_09_2021,0.005156404
approval_date_03_2018,0.005154796
agency_final_Hindustan_Petroleum_Corporation_Limited,0.005070764
agency_final_Bharat_Petroleum_Corporation_Limited__BPCL_,0.0050657396
agency_final_Oil_and_Natural_Gas_Corporation_Limited__ONGC_,0.0046197474
ministry_final_Ministry_of_Ports__Shipping_and_Waterways,0.0044702566
agency_final_Indian_Railway_Construction_International_Limited__IRCON_,0.0043648146
expenditure_change,0.004356474
agency_final_MoRTH,0.004304054
state_Uttarakhand,0.0041785724
state_Madhya_Pradesh,0.004140855
agency_final_Western_Railway__WR____II_1,0.0038711226
approval_date_03_2022,0.0038112977
agency_final_South_Western_Railway__SWR____II,0.0037301981
previous_observations,0.0036656684
approval_date_02_2024,0.0035963228
state_Offshore,0.0035745143
state_Sikkim,0.003527468
days_since_previous,0.0034822824
state_Mizoram,0.0033577816
state_Delhi,0.003246063
months_observed,0.003081825
approval_date_06_2022,0.0029185342
agency_final_Department_of_water_resources_MH___II,0.002787413
state_West_Bengal,0.0024380079
start_date_Unknown,0.0022452716
days_since_first_report,0.0022230584
state_Jharkhand,0.0018390585
state_Meghalaya,0.0
state_Multi_States__Andhra_Pradesh__Bihar__Chhattisgarh__Jharkhand__Madhya_Pradesh__Maharashtra__Odisha__Telangana__Uttar_Pradesh__West_Bengal_,0.0
state_Multi_States__Andhra_Pradesh__Chhattisgarh__Jharkhand__Maharashtra__Odisha_,0.0
state_Multi_States__Andhra_Pradesh__Chhattisgarh__Odisha_,0.0
state_Multi_States__Andhra_Pradesh__Karnataka_,0.0
state_Multi_States__Andhra_Pradesh__Maharashtra__Telangana_,0.0
state_Multi_States__Andhra_Pradesh__Odisha_,0.0
state_Multi_States__Andhra_Pradesh__Tamil_Nadu_,0.0
state_Multi_States__Andhra_Pradesh__Telangana_,0.0
state_Multi_States__Arunachal_Pradesh__Assam_,0.0
state_Multi_States__Arunachal_Pradesh__Assam__Manipur__Meghalaya__Mizoram__Nagaland__Sikkim__Tripura__West_Bengal_,0.0
state_Multi_States__Arunachal_Pradesh__Gujarat__Rajasthan_,0.0
state_Multi_States__Arunachal_Pradesh__Sikkim_,0.0
state_Multi_States__Assam__Bihar__Jharkhand__Odisha__West_Bengal_,0.0
state_Multi_States__Assam__Bihar__West_Bengal_,0.0
state_Multi_States__Assam__Manipur__Meghalaya__Mizoram__Nagaland__Tripura_,0.0
state_Multi_States__Assam__Nagaland_,0.0
state_Multi_States__Assam__West_Bengal_,0.0
state_Multi_States__Bihar__Delhi__Jharkhand__Uttar_Pradesh__West_Bengal_,0.0
state_Multi_States__Bihar__Gujarat__Himachal_Pradesh__Jammu_and_Kashmir__Ladakh__Rajasthan__Uttar_Pradesh_,0.0
state_Multi_States__Bihar__Jharkhand__Uttar_Pradesh__West_Bengal_,0.0
state_Multi_States__Bihar__Madhya_Pradesh__Rajasthan__Uttar_Pradesh_,0.0
state_Multi_States__Bihar__Odisha__West_Bengal_,0.0
state_Multi_States__Bihar__Uttar_Pradesh_,0.0
state_Multi_States__Bihar__West_Bengal_,0.0
state_Multi_States__Chhattisgarh__Madhya_Pradesh__Maharashtra__Odisha_,0.0
state_Multi_States__Chhattisgarh__Maharashtra_,0.0
state_Multi_States__Chhattisgarh__Odisha_,0.0
state_Multi_States__Dadra___Nagar_Haveli_and_Daman___Diu__Gujarat__Maharashtra_,0.0
